NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
ba'arí ko ré nasowáma ba		mañana vamos a revolver		target [nasowa] revolver - strong, particle-final	co1234[08_454-08_469].wav
hípi ko pe manáma ré roaká		ahora así lo vamos a dejar (en un contenedor) nomás echándolo (en un tanque)			co1234[08_485-08_508].wav
téri ko hápi shiyónami mi ka'é baní chonáti banáma		ahorita en la tarde con este tanque azul que está allá, en ese lo van a echar			co1234[08_591-09_015].wav
ba'arí che cho wasésa, che cho chiná pachána nasówuma		mañana otra vez lo cuecen y lo vuelven a echar ahi adentro y lo revuelven		target [nasowa] revolver - strong, final	co1234[09_144-09_168].wav
uhh .. “ma nasówiri ne ba”, he animéa		sí .." ya lo revolví", así se dice		target [nasowa] revolver - weak, mid	co1234[09_326-09_345].wav
ma rapáko batúri nehé, ma nasówiri		ya molí ayer, ya lo revolví		target [nasowa] revolver - weak, final	co1234[09_374-09_396].wav
riwichíwpo ba		rociarle		rociar con tesgüino con una ramita de táscate	co1234[10_296-10_308].wav
a'rí he riká riwichíwia anéwa		y luego le dicen que le hicieron "riwichíwia"			co1234[10_493-10_514].wav
anakú kúrishi niwíiri		que le haga así en los cuatro puntos			co1234[11_565-11_590].wav
oríiri		hazle			co1234[12_031-12_039].wav
na'ósa kurísa		se da cuatro vueltas			co1234[12_448-12_461].wav
a'rí ma wirósa ko he anibó “ya bahísi ba!“		y ya cuando lo tiran el tesgüino para arriba se dice "ya tírenle arriba"			co1234[12_522-12_550].wav
anakú kúrsi oraká ba		hacer cruz en todos lados			co1234[13_132-13_147].wav
chiná ronochí wiriká		ahíparándose en los pies			co1234[13_365-13_379].wav
a'rí chiná hónsa che cho ku sikachí wiriká he riká ... he riká bití		y luego se paran donde está la mano, así es ... así es			co1234[13_380-13_418].wav
chu aní? Chémale abé ru		qué dijo? así dijo Chémale ahorita			co1234[14_341-14_353].wav
rutúachi aniríami		le dicen "rutúachi"		rutúachi = la ofrenda del día de muertos	co1234[14_581-14_593].wav
échi rutúachi ko rehói shipúka chukuméa awía shipúcha		y ahí en la ofrenda va a bailar un hombre con faldas		target [awi] bailar - weak, mid	co1234[15_159-15_194].wav
ká riká napácha yúa traje uchépo		con todo y blusa, hay que ponerle un traje			co1234[15_220-15_240].wav
mi ko túna pápishi!		allá déjenlo/encamínenlo abajo			co1234[15_554-15_566].wav
he riká mukubúa páa shipúcha échi rehói ba		ahí se van a quitar y tirar las faldas los hombres		target [pa] tirar - long (mperative), mid	co1234[16_063-16_085].wav
shipúka awiméa rikó la rehói échi rutúami awéa ba		van a bailar unos señores para bailarle ahí en la ofrenda		target [awi] bailar - strong, mid	co1234[16_088-16_111].wav
áp awéa aparóchi ba		bailarle al abuelito		[awe] bailarle	co1234[16_117-16_131].wav
ma a'rína ku méa ba		ya al rato van a ir a recogerlos		target: [me] traer, weak, particle-final	co1234[16_185-16_198].wav
ku napabúa ma ku katéupo aré pa		ya lo van a juntar para guardarlos			co1234[16_221-16_239].wav
ma ku wiméa aré sipúcha		ya van a ir por las faldas			co1234[16_269-16_284].wav
kíti ko rihói kam pa		porque es hombre			co1234[16_509-16_521].wav
kíti ko he anéma: “ku shimiká ba, mati mi ári bahtári ba, ká riká kowáami shi birá” animéa re ba		ya vete, ya te dimos comida con tesguino		target: [a] dar - weak, mid	co1234[17_184-17_232].wav
pe choná túna riwéma le li matachíni awía ba		ani nomás abajito van a dejar de bailar los matachines		target: [awí] bailar; weak, particle-final	co1234[17_278-17_299].wav
ma chiná hónsa mokobúa wása shipúcha		y ya de ahí cuando ya tiren las faldas			co1234[17_305-17_332].wav
chiná bitiméa ré pe téeri kochiká		ahi van a costarse y van a dormir un rato			co1234[17_336-17_355].wav
a'rí ma ku shimáma héka		y ya se van a venir para acá			co1234[17_356-17_368].wav
a'rí ma ku bahtári bahíma		y luego ya van a tomar el tesgüino			co1234[17_369-17_382].wav
échi ku húra ruá ku koríki tiyópichi ba		diciendo que para mandarlo para la iglesia			co1234[17_487-17_511].wav
“ma ku húaki pa”, he anéma rá		"ya lo mandé" asi le va a decir			co1234[18_234-18_252].wav
hó, ma ku huáki pa		sí, ya lo mandé			co1234[18_255-18_277].wav
a'rí ma he animéa Lola: “ku bahísi ne ko!“		y ya va a decir Lola: "ya tómenle pues!"			co1234[18_282-18_308].wav
“ma korí tóbo ruá”, he aní échi ko		"dicen que ya van a enterrarlo allá de aquel lado", así dicen ellos		target: [to] enterrar - strong, mid	co1235[00_038-00_061].wav
urí, tóbo ruá ba		sí, dicen que lo van a enterrar		target [to] enterrar - strong, mid	co1235[00_106-00_121].wav
ma mukúra ruá		dicen que ya se murió		target [muku] 'morirse' - weak, mid	co1235[00_194-00_208].wav
ma na'omába ruá		ya lo van a enterrar (borrar)			co1235[00_322-00_334].wav
“kurí rapáko tóba ruái” he aní noráachi piréami ko		"decían que apenas ayer lo estaban enterrando" dicen los de Norogachi		target [to] enterrar - strong, mid; noróki - gente de norogachi, chokíi - gente de choguita, bokimói = bokimoba people, kapói = capochi people, riwiríi = riwiríchi people	co1235[01_054-01_081].wav
“kurí rapáko tóba ruái échi ko” he aní		dicen que apenas ayer lo estaban enterrando a él, así dicen		target [to] enterrar; strong, mid	co1235[01_149-01_169].wav
“baniwí mukúra ruái”, he aniwái		"dicen que antier se murió", así decían		target [muku] morirse - weak, mid; GC transcribed aniwái (asi decían)	co1235[01_180-01_199].wav
ah .. échi riká ra'íchi í piréami ko		ah .. así platican los de aqui		target [ra'icha] hablar - weak, mid	co1235[01_315-01_337].wav
tamí basúka wiráshi, ne inámo rá ishía		me levantas jalando para ir al baño a orinar		target¨[isi] orinar - weak, final	co1235[02_492-02_518].wav
ne inámo rá ishía		voy a ir a orinar		target¨[isi] orinar - weak, final	co1235[02_538-02_556].wav
chapiká ishíripo		agarrando lo van a hacer orinar (ayudarlo, a un enfermo o viejito)		target [ishi] orinar - strong, final	co1235[03_063-03_090].wav
chapiká ku wiráspo rá ishírsa		lo levantamos agarrándolo (de la mano) ya cuando lo hacemos orinar		target [ishi] - orinar - weak-strong, final	co1235[03_139-03_159].wav
“we nayúa échi”, he aní		"está muy enfermo", así dicen		target [nayu] enfermarse - weak, mid	co1235[03_316-03_331].wav
a'rí nayúnura ruá		y dicen que se enfermó		target [nayuna] enfermarse - weak, mid	co1235[04_043-04_063].wav
chí yíri bahísa, á riká nayúuno rá		cuando toman de eso se enferman		target [nayu] enfermarse - weak, particle-final	co1235[04_472-04_497].wav
ma ke oméra ra'ícha, we nayúami ú		ya no puede hablar, está muy enfermo		target [ra'ícha] hablar - weak, final; target [nayu] enfermarse - strong, mid	co1235[05_029-05_055].wav
ke tási cho oméri bihí ra'ícha échi ko		todavía no puede hablar esa		target [ra'ícha] hablar - weak, mid	co1235[06_031-06_055].wav
ma murípi ra'ichásimi á		ya casi habla		target [ra'ícha] hablar - weak, mid	co1235[06_076-06_093].wav
u' u' .. ma murípi ra'icháma ré		ya casi va a hablar		target [ra'ícha] hablar - strong, particle-final	co1235[06_122-06_141].wav
kurín somári		apenas me lavé la cabeza		target [soma] - lavar la cabeza - weak, final	co1235[06_363-06_378].wav
ke tási nihéa somániria		no hace caso cuando lo mandan a lavar la cabeza		target [soma] lavar la cabeza - weak, final	co1235[07_575-07_592].wav
“nihé ba'arí somáma a'rí”, he aní		"yo mañana me voy a lavar la cabeza" así se dice		target [soma] lavar la cabeza - strong, mid	co1235[08_396-08_420].wav
yéncho á chi'wána paa		también trózalo y tíralo		target [pa] tirar - strong, long (imperative), final	co1235[09_474-09_490].wav
ma chi'wána pári		ya lo trozó y lo tiró		target [pa] tirar - weak, final	co1235[09_527-09_540].wav
urí, akiná ku mésa!		sí, tráetelo para acá!		target [me] traer - strong, final	co1235[10_261-10_275].wav
“ne ke níwi kuaderno, akiná kú mésa!” aní		no tengo cuaderno, tráelo pa'cá!		target [me] traer - strong, final	co1235[10_292-10_317].wav
“kúmi páki?” he ané		dónde lo tiraste?		target: [pa] tirar; weak, final, interrogative (wh)	co1235[10_317-10_330].wav
“ká che ité pa”, he aní, “ma chi'wána pása ba“		no está, ya lo trozó y lo tiró		target: [pa] tirar - strong, particle-final	co1235[10_362-10_394].wav
na'póma ba, pachí ba?		ah, escardar le maíz?		target [na'po] escardar - strong - citation - question, prompted	co1236[00_036-00_051].wav
napóma? o í shikára kapóma?		escardar o quebrarse aqui en la mano?		target [na'po] escardar - strong - citation - question	co1236[00_064-00_093].wav
pe ke me napóriami		casi no se quebró		target [napo] quebrar - strong, final	co1236[00_195-00_209].wav
ka'ríiri aré?		se falseó (el pie), yo creo			co1236[01_073-01_082].wav
we okó chikisáa		duele mucho cuando eso pasa			co1236[01_105-01_118].wav
nibí, ne karíko ronóra		mira, me falsee el pie!			co1236[01_346-01_365].wav
á riká wichiméa, ke ku oméasa ko a'rá terréa ba		si se va a caer si no puede poner el pie			co1236[01_414-01_438].wav
ah .. wichirúto orá		se cae uno			co1236[01_482-01_495].wav
ke ompása terréa ka'rísa ronóra ba		no va a poder pisar si se falsea el pie			co1236[01_496-01_518].wav
ma murrúnisa ko ba		o cuando va y trae (leña)		target [muru] - cargar - strong, particle-final	co1236[02_301-02_316].wav
á birá wáma ré, we ma ku pása ko ba		si lo va a tirar ya cuando los traiga		target [pa] traer - strong, particle-final	co1236[02_419-02_438].wav
“ma ke ité pa, ya ku murúmi”, he aní		"ya no hay, ve a traer leña!", así se dice		target [muru] cargar - strong, final	co1236[03_065-03_083].wav
ke biré murrúri hípi ko, échi birá á murúma aré ba		ahora no trajo, pero el va a acarrear (leña)		target [muru] cargar - two tokens; [1] weak, mid; [2] strong, particle-final	co1236[03_211-03_237].wav
na'póa ko ke		escardar no		target [na'po] escardar - weak, initial (mid)	co1236[04_073-04_086].wav
julio alé ba pachí na'póa ba		hasta en julio yo creo escardar maíz		target [na'pó] escardar - weak, particle-final	co1236[04_279-04_294].wav
“ma mi'téshi shiméa, ne ma shimí na'póshia ba”, he animéa ba		"ya voy a ir a machetearle (la hierba), ya me voy a escardar" así va a decir		target [na'pó] escardar - weak, particle-final	co1236[04_378-04_407].wav
ma mi'téshia ba riyáwi ba, ma pachí na'póonshia ba		cortar la hierba, escardarle el maíz		target [na'pó] escardar - weak, particle-final; -n suffix = applicative	co1236[04_434-04_460].wav
“muní na'pónima ne ba” he aní aní		voy a escardarle al frijol		target [na'pó] escardar - strong, mid	co1236[05_053-05_073].wav
ba'wí manésa aré ra ba		darle agua al caballo		note: check pitch of applicative [mané]	co1236[06_213-06_227].wav
ne ku riwiméa le la, kabayo ba, á ayéna ba		lo voy a encontrar, al caballo, si lo ando buscando		target [riwa] encontrar - strong, particle-final (prompted)	co1236[07_365-07_387].wav
“ne ku riwiméa, ne ku ámsa” he riká naría alé lu ba		"yo lo voy a encontrar, yo lo voy a buscar", así yo creo		target [riwa] encontrar - strong, final	co1236[07_402-07_426].wav
“ne ke riwári ba” he aní, ke riwisáa ko		"no lo encontré" se dice, si no lo encuentra		target [riwa] encontrar - two tokens; [1] weak, particle.final; [2] strong, particle-final	co1236[07_583-08_013].wav
“ne ke riwáari”, ané		"no lo encontré", se dice		taret [riwa] encontrar - weak, final	co1236[08_085-08_099].wav
mani ku nawá		ya llegué		target [nawa] llegar - weak, final, rising intonation	co1236[09_054-09_069].wav
pe ke birá cho nawáma ré, mi ku disiembre aré		ya no va a llegar hasta en diciembre yo creo		taret [nawa] strong, particle-final	co1236[09_350-09_374].wav
we a'rá nóchi ko ba		trabaja muy bien			co1236[09_395-09_412].wav
we kaníri iyéna rúi		dice que anda muy contento			co1236[09_414-09_435].wav
ne chihuahua inámo rá		voy a ir a chihuahua			co1237[00_092-00_106].wav
ku bayémo rái!		voy a ir a hablarle			co1237[00_144-00_155].wav
hápi mi nári ko chané ba, mam ku páa ba		si alguien te pregunta "ya lo trajiste?"		target [nari] preguntar - weak, mid; target: [pa] traer - weak, particle-final	co1237[00_342-00_367].wav
“ma ne ku páki” he anío		"ya lo traje", se dice		target [pa] traer - weak, final	co1237[00_415-00_430].wav
a'rí ne ke ku pása ko “ke”, he animéa		y si no la trae dice "no"		target [pa] traer - strong, particle-final	co1237[00_561-00_584].wav
karí táka ashiméa		voy a pedir una casa para estarme ahi			co1237[01_464-01_481].wav
anachábo ré ra ba		"aguantar"		target [anacha] citation?/strong, initial (particle-final)	co1237[02_389-02_404].wav
yén á anacháma, ne ke tási namú hu		si voy a aguantar, no siento nada		target [anacha] aguantar - strong, final	co1237[03_011-03_036].wav
ápu riká rapáko échi biré mukí ke nawáro la ró		así como ayer esa mujer no llegó		target [nawa] llegar - weak, particle-final	co1237[03_316-03_342].wav
ke anáchiri		no aguantó		target [anacha] aguantar - weak, final (prompted)	co1237[03_471-03_481].wav
tróka méta aré ra ba		manejar troca yo creo		target [meti] manejar - weak, particle-final	co1237[04_150-04_161].wav
“ne kanísa níri troka méta ne” he aníri		"me gustaría manejar troca a mi" asi se dice		target [meti] manejar - weak, mid	co1237[04_234-04_259].wav
ke ompása ko méta troka ba		si no puedo manejar troka		target [meti] manejar - weak, mid	co1237[04_421-04_437].wav
áa ba		dándole		target [a] dar - citation (long), rising intonation	co1237[05_025-05_033].wav
áa ba		dándole		target [a] dar - citation (long), rising intonation	co1237[05_038-05_046].wav
“ne échi áma” he aniká ba		"le voy a dar a ella" diciendo		target [a] dar - strong, final	co1237[05_054-05_075].wav
“man áki” he aniká		"ya le di", asi se dice		target [a] dar - weak, final	co1237[05_315-05_332].wav
kom aní, ma áaro		no, dijiste que ya te habían dado		target [a] dar - passive, final (prompted)	co1237[05_520-05_533].wav
“ne bi ché má mi áki ro”, he animéa ré		"yo ya te lo di" va a decir		target [a] dar - weak, particle-final	co1237[05_590-06_010].wav
“ne ma néki” he riká cho aré		"ya lo usé" también así		target [ne] usar - weak, final	co1237[06_495-06_510].wav
ne ma néki échi		ya lo usé ese		target [ne] usar - weak, mid	co1237[06_531-06_546].wav
nehé na néma		yo voy a usar este		target [ne] usar - strong, final (rising intonation)	co1237[06_593-07_007].wav
ne na néma kuríwami		yo voy a usar este nuevo		target [ne] usar - strong, mid	co1237[07_137-07_156].wav
“échi toméi ré ne ko ba”, he aní		yo voy a llevar este, yo creo		target [to] llevar - strong, mid	co1237[07_175-07_192].wav
kíti ke néam pa aní		porque no lo usa		target [ne] usar - strong, particle-final	co1237[07_444-07_457].wav
échi riká birá matachíni awiwáawachi ko, nápu riká birá páskochi ke re		asi es cuando bailan los matachines, asi como en navidad		target [awi] bailar - strong, particle-final	co1237[07_563-07_598].wav
awiwáwami pe páskochi ke réo		cuando bailan es el 24 de diciembre		target [awi] bailar - strong, initial (mid)	co1237[08_001-08_023].wav
ma awíiri		ya bailaron		target [awi] bailar - passive, final	co1237[08_102-08_115].wav
ma chótari awía		ya empezaron a bailar		target [awi] bailar - weak, final	co1237[08_121-08_137].wav
“ma we awíchani” aníchani abé Lola rirína rú		"ya se oyen bailar mucho" así dijo Lola hace rato allá abajo		target [awi] bailar - weak, final	co1237[08_151-08_183].wav
ma uchú aré awía		ya están bailando yo creo		target [awi] bailar - weak, final	co1237[08_242-08_257].wav
awía birá aré matachína ba, ko'méa wási ba		bailando matachin yo creo para comer vaca		target [awi] bailar - weak, initial (mid)	co1237[08_289-08_317].wav
kíti ko he anéma: “ma ya awibóo ruá chomí”, a'rí ko ma shimáma awíshia ba		porque va a decir: "ya vamos a bailar para allá", luego ya van a ir a bailar		target [awi] bailar - two tokens; [1] strong, mid; [2] - weak, particle-final	co1237[09_352-09_390].wav
